Dot centers and radii:
696: -180.133 58.35 1.375
697: -173.205 54.35 1.375
698: -180.133 50.35 1.375
699: -173.205 46.35 1.375
700: -180.133 42.35 1.375
701: -173.205 38.35 1.375
702: -180.133 34.35 1.375
703: -173.205 30.35 1.375
704: -180.133 26.35 1.375
705: -173.205 22.35 1.375
706: -180.133 18.35 1.375
707: -173.205 14.35 1.375
708: -180.133 10.35 1.375
709: -173.205 6.35 1.375
710: -180.133 2.35 1.375
711: -173.205 -1.65 1.375
712: -180.133 -5.65 1.375
713: -173.205 -9.65 1.375
714: -180.133 -13.65 1.375
715: -173.205 -17.65 1.375
716: -180.133 -21.65 1.375
717: -173.205 -25.65 1.375
718: -180.133 -29.65 1.375
719: -173.205 -33.65 1.375
720: -180.133 -37.65 1.375
721: -173.205 -41.65 1.375
722: -180.133 -45.65 1.375
723: -173.205 -49.65 1.375
724: -180.133 -53.65 1.375
725: -173.205 -57.65 1.375
726: -180.133 -61.65 1.375
727: -173.205 -65.65 1.375
728: -180.133 -69.65 1.375
729: -173.205 -73.65 1.375
730: -180.133 -77.65 1.375
731: -173.205 -81.65 1.375
732: -180.133 -85.65 1.375
733: -173.205 -89.65 1.375
734: -180.133 -93.65 1.375
735: -173.205 -97.65 1.375
736: -180.133 -101.65 1.375
737: -173.205 -105.65 1.375
738: -180.133 -109.65 1.375
739: -173.205 -113.65 1.375
740: -180.133 -117.65 1.375
741: -173.205 -121.65 1.375
742: -187.061 110.35 1.375
743: -193.99 106.35 1.375
744: -187.061 102.35 1.375
745: -193.99 98.35 1.375
746: -187.061 94.35 1.375
747: -193.99 90.35 1.375
748: -187.061 86.35 1.375
749: -193.99 82.35 1.375
750: -187.061 78.35 1.375
751: -193.99 74.35 1.375
752: -187.061 70.35 1.375
753: -193.99 66.35 1.375
754: -187.061 62.35 1.375
755: -193.99 58.35 1.375
756: -187.061 54.35 1.375
757: -193.99 50.35 1.375
758: -187.061 46.35 1.375
759: -193.99 42.35 1.375
760: -187.061 38.35 1.375
761: -193.99 34.35 1.375
762: -187.061 30.35 1.375
763: -193.99 26.35 1.375
764: -187.061 22.35 1.375
765: -193.99 18.35 1.375
766: -187.061 14.35 1.375
767: -193.99 10.35 1.375
768: -187.061 6.35 1.375
769: -193.99 2.35 1.375
770: -187.061 -1.65 1.375
771: -193.99 -5.65 1.375
772: -187.061 -9.65 1.375
773: -193.99 -13.65 1.375
774: -187.061 -17.65 1.375
775: -193.99 -21.65 1.375
776: -187.061 -25.65 1.375
777: -193.99 -29.65 1.375
778: -187.061 -33.65 1.375
779: -193.99 -37.65 1.375
780: -187.061 -41.65 1.375
781: -193.99 -45.65 1.375
782: -187.061 -49.65 1.375
783: -193.99 -53.65 1.375
784: -187.061 -57.65 1.375
